120	120
112.0656419	4.174945827	20.63767584	1.091107463	-1	-1	0
83.17897779	84.93851532	128.0172961	0.8331683393	1	1	0
5.074479776	62.71124865	134.0302135	1.258789449	-1	-1	0
53.6823455	76.75613496	30.24279163	1.178883857	-1	-1	0
28.33169867	53.95399619	267.0564287	0.2449083952	1	1	0
46.0191696	79.67505484	334.8712803	1.08615708	1	1	0
13.6553034	51.30492314	11.60131681	1.25699034	-1	-1	0
22.66216162	15.10784342	230.0482639	0.03185006923	-1	-1	0
18.96688172	65.45901333	11.53741915	1.350114085	-1	-1	0
53.24271252	18.68099988	245.7187438	0.5987730844	-1	-1	0
57.72057063	41.09237984	122.1773441	1.387557739	1	1	0
12.82591133	99.58828929	93.97771114	0.1240793409	1	1	0
109.0110966	11.89352419	247.1429023	1.285378677	1	1	0
22.75866612	40.19101071	352.4587302	0.07024047434	-1	-1	0
93.77609682	64.02261984	218.9184303	1.013621168	-1	-1	0
30.02271992	118.5826758	149.0650654	1.433962783	-1	-1	0
11.5623759	20.33423935	234.3286686	0.6543501006	1	1	0
57.03586961	11.30994977	28.86717524	1.156757204	1	1	0
26.02166965	6.539717452	23.84131952	1.142946449	1	1	0
107.6128854	116.9344614	146.3574329	0.03817905519	1	1	0
59.90414797	82.43310303	352.3672408	0.523931201	1	1	0
9.876360022	28.86938679	221.1173442	0.5612298901	1	1	0
82.53318664	11.56120117	270.303696	0.8969233228	1	1	0
52.23909599	4.659567086	125.8318135	0.9724858658	-1	-1	0
87.52522679	48.52952744	53.21351708	1.409397298	-1	-1	0
47.36638516	71.04336446	345.9759737	0.7154321114	1	1	0
86.03265267	68.09932807	206.2400065	0.6410278884	-1	-1	0
43.64506199	4.657554169	24.06877999	1.338766241	1	1	0
112.256289	44.84016172	234.123051	0.198073384	1	1	0
41.11990562	65.46018486	248.916442	0.3505243709	-1	-1	0
65.83731684	10.9317187	48.5250887	1.065425755	1	1	0
17.81617128	25.83420369	356.3227076	0.002495977383	-1	-1	0
99.82083315	11.9485812	269.6442481	1.379089215	-1	-1	0
91.37541835	26.91708775	243.805581	0.9458277606	1	1	0
