Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
21, 128 | dz = 0.373 | sum = 12.58 | DS | 11.457
21, 136 | dz = 0.170 | diff = -12.01 | SS | 8.006
21, 150 | dz = 0.035 | diff = -12.13 | SS | 8.963
22, 51 | dz = 1.212 | sum = 22.96 | DS | 16.232
22, 57 | dz = 0.468 | sum = 17.64 | DS | 13.363
22, 85 | dz = 0.000 | sum = 126.90 | DS | 17.989
22, 102 | dz = 1.028 | sum = 125.28 | DS | 18.007
22, 113 | dz = 0.093 | diff = -11.56 | SS | 14.964
22, 134 | dz = 0.185 | sum = 11.02 | DS | 19.303
23, 51 | dz = 0.651 | sum = 19.18 | DS | 10.119
23, 85 | dz = 0.562 | sum = 19.13 | DS | 7.649
24, 27 | dz = 0.472 | sum = 129.98 | DS | 7.869
24, 46 | dz = 0.658 | sum = 19.47 | DS | 11.148
25, 139 | dz = 0.932 | sum = 130.00 | DS | 12.009
26, 28 | dz = 0.006 | diff = -13.04 | SS | 6.401
26, 50 | dz = 0.747 | sum = 21.00 | DS | 7.597
26, 70 | dz = 0.743 | sum = 19.12 | DS | 6.857
26, 122 | dz = 0.651 | sum = 22.20 | DS | 16.812
26, 130 | dz = 0.738 | sum = 127.71 | DS | 4.085
27, 46 | dz = 0.187 | diff = 16.05 | SS | 16.301
27, 69 | dz = 0.558 | sum = 19.90 | DS | 15.051
27, 99 | dz = 0.836 | sum = 21.09 | DS | 18.999
28, 35 | dz = 0.093 | diff = -14.24 | SS | 14.917
28, 50 | dz = 0.737 | sum = 19.15 | DS | 11.001
28, 130 | dz = 0.745 | sum = 20.13 | DS | 13.646
28, 148 | dz = 0.745 | sum = 129.62 | DS | 17.399
28, 154 | dz = 0.745 | sum = 19.40 | DS | 14.394
29, 71 | dz = 0.093 | diff = -15.01 | SS | 13.044
29, 108 | dz = 0.653 | sum = 21.67 | DS | 11.213
29, 120 | dz = 0.760 | sum = 128.80 | DS | 9.693
30, 41 | dz = 1.021 | sum = 21.17 | DS | 14.152
30, 77 | dz = 0.103 | diff = 14.92 | SS | 13.016
30, 95 | dz = 0.374 | sum = 16.81 | DS | 12.081
30, 125 | dz = 0.001 | diff = -14.21 | SS | 15.835
31, 63 | dz = 0.000 | diff = 13.39 | SS | 4.947
31, 76 | dz = 0.000 | diff = -9.02 | SS | 8.982
31, 121 | dz = 0.840 | sum = 128.73 | DS | 1.705
31, 131 | dz = 0.743 | sum = 20.12 | DS | 7.096
32, 55 | dz = 0.016 | diff = -1.72 | SS | 18.473
32, 68 | dz = 0.000 | diff = 9.18 | SS | 16.907
32, 118 | dz = 0.744 | sum = 128.28 | DS | 1.026
32, 137 | dz = 0.091 | diff = -11.86 | SS | 18.598
32, 155 | dz = 0.651 | sum = 16.81 | DS | 18.705
33, 53 | dz = 0.372 | sum = 16.70 | DS | 13.663
33, 57 | dz = 0.102 | diff = -12.94 | SS | 14.948
33, 59 | dz = 1.304 | sum = 24.33 | DS | 16.611
33, 120 | dz = 0.186 | diff = 2.63 | SS | 18.972
34, 78 | dz = 0.190 | sum = 16.34 | DS | 10.190
34, 101 | dz = 1.209 | sum = 23.79 | DS | 11.021
34, 116 | dz = 0.279 | diff = 15.81 | SS | 11.360
35, 65 | dz = 0.745 | sum = 20.24 | DS | 8.458
35, 110 | dz = 0.855 | sum = 129.49 | DS | 11.703
35, 111 | dz = 0.075 | diff = -10.91 | SS | 10.900
35, 130 | dz = 0.652 | sum = 20.73 | DS | 11.199
35, 148 | dz = 0.652 | sum = 19.28 | DS | 8.971
36, 48 | dz = 0.923 | sum = 128.97 | DS | 12.010
36, 66 | dz = 0.089 | diff = -17.33 | SS | 10.208
36, 74 | dz = 0.000 | diff = 8.90 | SS | 12.633
36, 89 | dz = 0.000 | diff = -2.49 | SS | 11.092
36, 100 | dz = 0.277 | sum = 10.13 | DS | 12.993
36, 119 | dz = 0.849 | sum = 23.02 | DS | 8.982
37, 91 | dz = 0.466 | diff = 18.31 | SS | 12.285
37, 105 | dz = 0.094 | diff = -15.11 | SS | 14.638
37, 134 | dz = 0.372 | sum = 18.70 | DS | 13.074
37, 140 | dz = 0.189 | sum = 13.76 | DS | 14.800
38, 82 | dz = 0.842 | sum = 128.68 | DS | 14.878
39, 71 | dz = 0.019 | diff = -1.60 | SS | 5.076
39, 100 | dz = 0.371 | sum = 127.88 | DS | 4.065
39, 119 | dz = 0.547 | sum = 19.60 | DS | 10.239
39, 144 | dz = 0.943 | sum = 124.24 | DS | 8.904
40, 65 | dz = 0.835 | sum = 125.07 | DS | 17.382
40, 111 | dz = 0.014 | diff = 8.23 | SS | 14.924
40, 118 | dz = 0.745 | sum = 17.68 | DS | 16.309
40, 133 | dz = 0.657 | sum = 16.18 | DS | 18.000
40, 137 | dz = 0.090 | diff = -11.89 | SS | 18.215
40, 152 | dz = 0.015 | diff = 17.70 | SS | 14.106
41, 61 | dz = 0.184 | diff = -14.92 | SS | 10.176
41, 95 | dz = 0.095 | diff = -13.83 | SS | 13.505
41, 106 | dz = 0.559 | sum = 19.52 | DS | 8.480
41, 127 | dz = 0.743 | sum = 19.68 | DS | 10.785
42, 136 | dz = 0.641 | sum = 129.15 | DS | 19.991
42, 141 | dz = 0.652 | sum = 19.69 | DS | 5.302
43, 55 | dz = 0.667 | sum = 17.40 | DS | 19.764
43, 86 | dz = 0.784 | sum = 20.03 | DS | 16.457
43, 93 | dz = 0.703 | sum = 20.08 | DS | 13.858
43, 131 | dz = 0.794 | sum = 130.00 | DS | 19.000
43, 149 | dz = 0.038 | diff = -11.49 | SS | 16.885
43, 155 | dz = 0.000 | diff = 1.96 | SS | 18.498
