Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
22, 54 | dz = 1.304 | sum = -197.53 | DD | 12.732
22, 77 | dz = 1.025 | sum = -56.79 | DD | 14.142
22, 115 | dz = 0.840 | sum = 128.46 | DS | 17.382
22, 132 | dz = 0.095 | diff = -14.76 | SS | 11.136
22, 149 | dz = 0.000 | diff = 14.55 | SS | 15.453
23, 25 | dz = 1.018 | sum = -200.36 | DD | 11.565
23, 86 | dz = 0.186 | diff = -12.51 | SS | 12.610
23, 91 | dz = 1.291 | sum = 53.01 | DD | 16.016
23, 92 | dz = 0.108 | diff = 19.30 | SS | 12.851
23, 100 | dz = 1.211 | sum = -56.53 | DD | 13.318
23, 122 | dz = 1.304 | sum = -196.08 | DD | 9.830
24, 44 | dz = 0.307 | diff = -63.87 | SD | 11.047
24, 83 | dz = 1.052 | sum = -57.98 | DD | 13.489
24, 90 | dz = 0.680 | sum = 20.14 | DS | 9.138
24, 103 | dz = 0.361 | diff = -63.81 | SD | 6.538
24, 151 | dz = 1.106 | sum = 50.49 | DD | 3.946
24, 159 | dz = 1.033 | sum = -199.97 | DD | 8.023
25, 86 | dz = 0.832 | sum = 49.81 | DD | 6.910
25, 92 | dz = 1.126 | sum = -55.17 | DD | 11.022
25, 102 | dz = 0.743 | sum = -62.95 | DD | 8.016
25, 146 | dz = 0.193 | sum = -206.44 | DD | 4.994
26, 47 | dz = 0.005 | diff = -15.10 | SS | 11.921
26, 72 | dz = 1.334 | sum = -197.96 | DD | 10.002
26, 79 | dz = 0.000 | diff = -15.49 | SS | 14.277
26, 97 | dz = 1.430 | sum = -54.20 | DD | 13.801
26, 108 | dz = 0.094 | diff = 19.59 | SS | 9.681
26, 144 | dz = 1.119 | sum = 51.17 | DD | 12.283
27, 38 | dz = 0.000 | diff = 14.01 | SS | 6.326
27, 62 | dz = 0.103 | diff = -50.36 | SD | 4.247
27, 85 | dz = 0.378 | sum = 128.31 | DS | 0.959
27, 95 | dz = 1.407 | sum = 27.89 | DS | 18.268
27, 101 | dz = 0.466 | sum = 19.44 | DS | 3.429
27, 116 | dz = 1.304 | sum = -56.00 | DD | 8.000
28, 34 | dz = 0.749 | sum = 20.41 | DS | 7.637
28, 77 | dz = 1.021 | sum = 48.72 | DD | 4.068
28, 80 | dz = 0.098 | diff = -62.20 | SD | 9.377
28, 98 | dz = 0.559 | sum = 20.86 | DS | 10.992
29, 61 | dz = 1.229 | diff = 49.47 | SD | 4.284
29, 88 | dz = 0.092 | diff = 15.01 | SS | 8.287
29, 113 | dz = 0.562 | sum = 48.91 | DD | 6.071
29, 128 | dz = 0.190 | diff = -64.60 | SD | 7.101
29, 130 | dz = 0.002 | sum = 45.97 | DD | 6.824
30, 43 | dz = 0.548 | sum = 19.88 | DS | 6.706
30, 97 | dz = 0.487 | sum = 129.72 | DS | 5.096
30, 142 | dz = 0.727 | sum = 21.41 | DS | 10.272
31, 66 | dz = 1.302 | diff = 47.21 | SD | 4.970
31, 96 | dz = 1.303 | sum = -54.62 | DD | 13.097
31, 111 | dz = 1.195 | sum = -200.45 | DD | 8.556
31, 118 | dz = 0.467 | sum = 127.61 | DS | 9.296
31, 156 | dz = 0.092 | diff = 17.70 | SS | 11.446
32, 119 | dz = 0.748 | sum = 129.43 | DS | 12.427
32, 134 | dz = 1.182 | sum = -196.59 | DD | 14.441
33, 69 | dz = 0.461 | diff = -90.10 | SD | 9.726
34, 77 | dz = 0.280 | diff = -63.74 | SD | 9.278
34, 78 | dz = 0.749 | sum = 129.00 | DS | 4.998
34, 98 | dz = 0.182 | diff = -14.56 | SS | 6.586
34, 132 | dz = 0.650 | sum = 20.41 | DS | 7.849
35, 52 | dz = 0.274 | diff = -4.94 | SS | 2.091
35, 121 | dz = 0.365 | diff = 19.22 | SS | 10.441
35, 140 | dz = 0.086 | sum = 46.67 | DD | 10.930
36, 58 | dz = 1.396 | sum = -55.99 | DD | 16.996
36, 81 | dz = 0.208 | sum = 48.75 | DD | 13.751
36, 104 | dz = 1.326 | diff = -198.14 | SD | 11.858
37, 74 | dz = 0.337 | sum = 19.05 | DS | 6.986
37, 119 | dz = 0.090 | sum = 4.69 | DS | 0.827
37, 134 | dz = 0.524 | sum = -204.90 | DD | 1.055
37, 153 | dz = 0.803 | diff = -62.09 | SD | 3.006
38, 62 | dz = 0.102 | diff = -64.38 | SD | 9.331
38, 116 | dz = 1.303 | sum = -199.44 | DD | 9.273
39, 73 | dz = 0.095 | diff = -7.76 | SS | 9.570
39, 87 | dz = 0.660 | sum = 21.17 | DS | 6.944
39, 99 | dz = 0.577 | sum = 17.33 | DS | 10.069
39, 154 | dz = 0.298 | diff = -66.05 | SD | 8.102
40, 85 | dz = 1.321 | sum = -56.01 | DD | 16.008
40, 92 | dz = 0.935 | sum = 43.12 | DD | 12.613
40, 95 | dz = 1.027 | sum = -202.02 | DD | 13.788
40, 109 | dz = 1.318 | sum = 59.31 | DD | 14.630
